feature,mean_abs_shap
WP_avg_fav,0.5321720005103514
z_rel,0.21621247654680092
WP_avg_entropy,0.1382017719613831
WP_range,0.12974041610630818
GameWinRateEffSurfDiff,0.08556184049215922
DaysSinceLossDiff,0.07663943564504445
WinRateTotalSmoothedDiff,0.07631273564656242
WP_std,0.060603572513362944
AgeDiff,0.05156273627450753
WinRateEffSurfDiff,0.049447588448038544
EffSurfMatchesLogFavDiff,0.04931683023335322
TSScale_avg,0.04921267716249747
EffSurfFocusFavDiff,0.047407832097821984
FavSurfaceUplift,0.04028973413204012
z_avg_fav,0.03839357488628203
DaysSinceWinDiff,0.033382466334987655
OppSurfaceUplift,0.02534580181998874
z_std_fav,0.022823633503951894
RestDaysFavMinusOpp,0.022746486186192585
PrizeLog,0.01687034370735285
FormEffSurfCompositeDiff,0.015525770548686462
WinRateEffSurfSmoothedDiff,0.015364474344165342
EffSurfWeight,0.014378634351585907
SetWinRateEffSurfDiff,0.013621074006675869
SurfaceUpliftDiff,0.012517012099338042
FormCompositeDiff,0.012224399482825379
RecencySlopeEff_MminusY,0.012089256003389635
SeasonMonth_cos,0.0109173678861797
SeasonMonth_sin,0.010551536305502686
RecencySlope_WminusM,0.009004566264574413
RecencySlope_MminusY,0.008249848171670113
PrizeMissing,0.007825242027501947
AgeDiff_sq,0.007444468736103066
RecencySlopeEff_WminusM,0.007417692927703597
PrimeProxAdv,0.006239943269961747
IsSurf4,0.005778367189028378
StreakDiff,0.005429718288529666
IsSurf2,0.0035519299602796146
FavIsHome,0.0033344138829137257
FavHome_S4,0.0016549921368995565
IsSurf1,0.0006976707625264468
FavHome_S1,0.00028986473742897463
IsSurf3,0.00028429035008415354
FavHome_S2,0.0002484194419045913
PlaysMismatch,0.00020280635881789918
FavHome_S3,0.0
