feature,mean_abs_shap
WP_avg_fav,0.30311176556909164
z_rel,0.17464442104259478
AgeDiff,0.10364870268514689
EffSurfFocusFavDiff,0.08342805006204129
WP_avg_entropy,0.0669603183487641
WP_range,0.062462013592514166
z_avg_fav,0.042490290892450176
DaysSinceLossDiff,0.03835414933264611
PrizeLog,0.03233383825096211
WP_std,0.03196723002359984
RecencySlope_MminusY,0.029118387464615557
EffSurfMatchesLogFavDiff,0.026504928501005845
RestDaysFavMinusOpp,0.0257107282791651
FavSurfaceUplift,0.023635365226666188
DaysSinceWinDiff,0.0234541881909996
z_std_fav,0.022667204335027395
SurfaceUpliftDiff,0.022191062291191638
dWP_H2HM_M_abs,0.02164012358294207
OppSurfaceUplift,0.018277682965564604
SetWinRateEffSurfDiff,0.016833344485649278
EffSurfWeight,0.015087162448871799
TSScale_avg,0.014476019420628638
FormCompositeDiff,0.013678632186335596
AgeDiff_sq,0.013344569120374175
RecencySlopeEff_MminusY,0.013086371366471027
dZ_H2HM_M_abs,0.011788452421924236
WinRateEffSurfSmoothedDiff,0.011567811025049678
WinRateTotalSmoothedDiff,0.010842533999901737
FormEffSurfCompositeDiff,0.0075159954657061465
H2H_conflict_weighted,0.007261248247737866
PrimeProxAdv,0.007040874180760884
GameWinRateEffSurfDiff,0.006899779164564868
WinRateEffSurfDiff,0.006758488414763515
SeasonMonth_sin,0.006495592435903175
RecencySlope_WminusM,0.00487354008221476
RecencySlopeEff_WminusM,0.004610353728918247
H2HSmoothedWeighted,0.003946101955865522
SeasonMonth_cos,0.003674249942202433
H2HWinRateSmoothedDiff,0.0035611576554137494
StreakDiff,0.0033042056092740606
FavIsHome,0.002388613679342905
H2HMatches,0.0016521104055262383
PlaysMismatch,0.00024622051152988877
PrizeMissing,0.0002180964425138657
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
FavHome_S1,0.0
IsSurf4,0.0
IsSurf2,0.0
IsSurf3,0.0
