feature,mean_abs_shap
WP_avg_fav,0.34486919562532414
z_rel,0.10194880253921308
EffSurfFocusFavDiff,0.09821216623300111
EffSurfMatchesLogFavDiff,0.08811094065849653
WinRateEffSurfDiff,0.08147450600944993
PrimeProxAdv,0.07944573362275807
RecencySlope_MminusY,0.06064741201801173
TSScale_avg,0.04663715542044556
AgeDiff_sq,0.04357575286683689
FavSurfaceUplift,0.04339515735605281
AgeDiff,0.04289162023746539
OppSurfaceUplift,0.04089932654706195
H2H_conflict_weighted,0.03865394537055002
FormEffSurfCompositeDiff,0.03719326607872438
RestDaysFavMinusOpp,0.033192023788951995
SurfaceUpliftDiff,0.03111614382326081
DaysSinceLossDiff,0.030149749660074204
WinRateEffSurfSmoothedDiff,0.02675938398194142
GameWinRateEffSurfDiff,0.026337586748138162
RecencySlopeEff_MminusY,0.023893277830149412
dZ_H2HM_M_abs,0.02296001020294385
WinRateTotalSmoothedDiff,0.02167908558968842
WP_avg_entropy,0.021565604532344358
DaysSinceWinDiff,0.021502778711877595
WP_range,0.020375704210365223
EffSurfWeight,0.020310588204987164
RecencySlopeEff_WminusM,0.019890824115085116
FormCompositeDiff,0.01854798930552124
H2HWinRateSmoothedDiff,0.015217536421836672
z_avg_fav,0.013454231928428198
RecencySlope_WminusM,0.013256055228893539
StreakDiff,0.012457794215295314
z_std_fav,0.012350283736809476
PlaysMismatch,0.010731268310407016
SetWinRateEffSurfDiff,0.010607016228768577
H2HSmoothedWeighted,0.010282005772012505
PrizeLog,0.00983749685453743
dWP_H2HM_M_abs,0.008736002535038995
WP_std,0.008453691195414755
H2HMatches,0.005041486235551528
FavIsHome,0.003551090838739255
SeasonMonth_sin,0.002360011809076066
PrizeMissing,0.0014511748333084589
SeasonMonth_cos,0.0012820452154400838
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
FavHome_S1,0.0
IsSurf4,0.0
IsSurf2,0.0
IsSurf3,0.0
