feature,mean_abs_shap
WP_avg_fav,0.353731931265508
z_rel,0.15408411609440922
z_avg_fav,0.09788703996131658
AgeDiff,0.09038952235844773
WP_avg_entropy,0.08276597431786994
DaysSinceLossDiff,0.06605114380956006
EffSurfFocusFavDiff,0.05505615672200357
WP_range,0.0380186161685257
EffSurfWeight,0.03520050677809473
EffSurfMatchesLogFavDiff,0.03451469029741467
WP_std,0.033884301065746254
PrimeProxAdv,0.02454829081262705
DaysSinceWinDiff,0.024168206430979663
WinRateTotalSmoothedDiff,0.020546150603444144
SurfaceUpliftDiff,0.019964223538301552
dZ_H2HM_M_abs,0.016253848238114526
SeasonMonth_sin,0.015891893703275515
TSScale_avg,0.015482520774923281
RecencySlope_MminusY,0.015079431708708544
RecencySlopeEff_MminusY,0.015033933634854847
OppSurfaceUplift,0.013988564639231489
GameWinRateEffSurfDiff,0.012168893150897052
FavSurfaceUplift,0.011076133017570712
z_std_fav,0.01016347883040989
SetWinRateEffSurfDiff,0.00965398892335719
AgeDiff_sq,0.009285489644861434
WinRateEffSurfSmoothedDiff,0.008583980566230614
RestDaysFavMinusOpp,0.008557144183465051
FormEffSurfCompositeDiff,0.007662479714981672
dWP_H2HM_M_abs,0.006979626366619643
StreakDiff,0.006563298887843439
H2H_conflict_weighted,0.006384016368699741
RecencySlopeEff_WminusM,0.005913580693867286
PrizeLog,0.005093890082162055
WinRateEffSurfDiff,0.0048183546069630965
SeasonMonth_cos,0.004185766573095959
RecencySlope_WminusM,0.0037701681988568927
FormCompositeDiff,0.0036759960233122167
PlaysMismatch,0.002655725285966458
H2HSmoothedWeighted,0.002503933983586161
H2HWinRateSmoothedDiff,0.0018107791764757372
FavIsHome,0.0008027921309825937
H2HMatches,0.0007621688217188733
FavHome_S1,0.0
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
IsSurf4,0.0
IsSurf3,0.0
IsSurf2,0.0
PrizeMissing,0.0
