feature,perm_imp_mean,perm_imp_std
vw_NN_H2H_perMatch__H2H_glb_Delta_01,0.0350905466121863,0.0026382836209334617
vw_NN_H2H_perMatch__pH2H_glb_01,0.012732957181828583,0.0012963418925538038
vw_NN_H2H_perMatch__H2H_SM_Delta_01,0.012434987239948861,0.0009453091531105479
vw_NN_H2H_perMatch__pH2H_M_01,0.009925320951283678,0.0008278427662691294
vw_NN_H2H_perMatch__H2H_glb_pBlend_01,0.006520682332729177,0.0011187558782174763
vw_NN_H2H_perMatch__H2H_M_Delta_01,0.005247520990083826,0.00035825256699314865
vw_NN_TS_perMatch__TS_uncert_GSM_01,0.004446330285321029,0.0006027448511798288
vw_NN_TS_perMatch__TS_uncert_SM_01,0.003949078296313066,0.0003456297674482713
vw_NN_H2H_perMatch__H2H_GSM_pBlend_01,0.0035661080144319263,0.001084034439339941
vw_NN_H2H_perMatch__H2H_GSMS_Delta_01,0.003262481799927025,0.0008123531243653207
vw_NN_H2H_perMatch__pH2H_SM_01,0.0021418523174091264,0.0006126232668618877
vw_NN_H2H_perMatch__H2H_SM_pBlend_01,0.0018456948827794,0.0006816672421887055
vw_NN_TS_perMatch__L_TSprob_GSM_01,0.0011990985463940645,0.0008774898607925509
vw_NN_H2H_perMatch__pH2H_GSMS_01,0.0009910664642657774,0.00029577996843715157
vw_NN_H2H_perMatch__H2H_M_pBlend_01,0.0006109086936346569,0.0003215273818986982
vw_NN_H2H_perMatch__H2H_MS_Delta_01,0.0005748147992590824,8.49910333884625e-05
vw_NN_H2H_perMatch__pH2H_GSM_01,0.0005574084796337586,0.00018041292058351948
vw_NN_H2H_perMatch__pH2H_SMS_01,0.0005309708738834018,0.0003870904722035869
vw_NN_H2H_perMatch__pH2H_MS_01,0.0004695643782573894,0.00020910449454890847
vw_NN_TS_perMatch__L_TS_gap_SM_01,0.00046697061788231187,0.00030375989386365347
vw_NN_TS_perMatch__L_TSprob_MS_S_01,0.00044856429425707556,0.00025966788502228267
vw_NN_H2H_perMatch__H2H_glb_AbsDelta_01,0.0004462517850070402,0.00010824834001702579
vw_NN_TS_perMatch__L_TS_gap_GSM_01,0.00043922050688187386,0.0003150576152464283
vw_NN_H2H_perMatch__H2H_sfc_Delta_01,0.0003815640262559844,0.00022178860766378558
vw_NN_TS_perMatch__L_TSprob_SM_01,0.0003688139752558023,0.00041185672566288145
vw_NN_TS_perMatch__TS_uncert_M_01,0.000344251377005389,0.0004518096169042663
vw_NN_H2H_perMatch__H2H_MS_AbsDelta_01,0.000342157618630351,0.00016876900452033662
vw_NN_TS_perMatch__L_TS_meanProb_01,0.00028293863175440914,0.00018256800169202676
vw_NN_H2H_perMatch__H2H_MS_pBlend_01,0.00028040737162937646,0.000256785680886755
vw_NN_TS_perMatch__TS_uncert_GSMS_S_01,0.00026815732262919223,0.00016001797006594734
vw_NN_H2H_perMatch__H2H_GSMS_pBlend_01,0.00025475101900392094,0.00030621094158212413
vw_NN_H2H_perMatch__H2H_GSM_Delta_01,0.00025053225212889885,0.00032973287256402413
vw_NN_H2H_perMatch__H2H_M_Extreme_01,0.00022493839975346042,8.189629341227374e-05
vw_NN_TS_perMatch__L_TS_gap_M_01,0.00017343819375266467,0.0002085079063786965
vw_NN_TS_perMatch__L_TSprob_M_01,0.00017046943187762342,0.0002634892663802004
vw_NN_H2H_perMatch__H2H_GSMS_Extreme_01,0.00016068814275246868,7.22353382162352e-05
vw_NN_H2H_perMatch__H2H_MS_Extreme_01,0.00015528187112734404,0.00018843025966671278
vw_NN_H2H_perMatch__H2H_M_AbsDelta_01,0.00013218802875201996,7.098859175046534e-05
vw_NN_TS_perMatch__R_TSprob_MS_S_01,0.00010796918187656879,0.0001011228888159641
vw_NN_H2H_perMatch__pH2H_sfc_01,9.990664962646056e-05,4.943575198725048e-05
vw_NN_TS_perMatch__R_TSprob_M_01,6.915652662603522e-05,5.8814686275846904e-05
vw_NN_H2H_perMatch__H2H_SMS_Delta_01,6.196899787587473e-05,0.00011219234892683277
vw_NN_H2H_perMatch__H2H_sfc_AbsDelta_01,5.321896287571737e-05,9.651701655698888e-05
vw_NN_H2H_perMatch__H2H_sfc_pBlend_01,4.5562682250616104e-05,0.00020383920684316134
vw_NN_H2H_perMatch__H2H_GSM_Extreme_01,4.2375169500577514e-05,3.227482894296034e-05
vw_NN_TS_perMatch__R_TSprob_SM_01,2.9187616750345202e-05,2.962004156841104e-05
vw_NN_H2H_perMatch__H2H_glb_Agreement_01,2.2125088500260515e-05,5.1042159950101575e-05
