feature,mean_abs_shap
vw_NN_H2H_perMatch__H2H_GSM_pBlend_01,0.35603343339987803
vw_NN_H2H_perMatch__H2H_glb_pBlend_01,0.3522154409924809
vw_NN_H2H_perMatch__H2H_M_Delta_01,0.22523387588432656
vw_NN_H2H_perMatch__pH2H_M_01,0.21896123110089352
vw_NN_H2H_perMatch__H2H_SM_Delta_01,0.15278187962224354
vw_NN_H2H_perMatch__H2H_GSMS_Delta_01,0.13682217731403176
vw_NN_H2H_perMatch__H2H_glb_Delta_01,0.13526560732602538
vw_NN_TS_perMatch__L_TSprob_GSM_01,0.13282423462132026
vw_NN_TS_perMatch__L_TSprob_SM_01,0.12888613889861092
vw_NN_H2H_perMatch__pH2H_glb_01,0.11433572323000006
vw_NN_TS_perMatch__L_TS_meanProb_01,0.09692078271690328
vw_NN_H2H_perMatch__H2H_M_pBlend_01,0.07914891463678254
vw_NN_H2H_perMatch__pH2H_SM_01,0.07762734545228031
vw_NN_TS_perMatch__L_TSprob_MS_S_01,0.05624791842154287
vw_NN_H2H_perMatch__H2H_SM_pBlend_01,0.054786497220966304
vw_NN_TS_perMatch__TS_uncert_GSM_01,0.052506879841400816
vw_NN_H2H_perMatch__H2H_SMS_Delta_01,0.05068206792693936
vw_NN_TS_perMatch__TS_uncert_SM_01,0.0494538766144719
vw_NN_H2H_perMatch__pH2H_GSMS_01,0.048201813651864676
vw_NN_TS_perMatch__TS_uncert_M_01,0.0461171636933364
vw_NN_TS_perMatch__L_TS_gap_SM_01,0.04463009161565833
vw_NN_TS_perMatch__L_TSprob_SMS_S_01,0.04331603504007051
vw_NN_H2H_perMatch__H2H_sfc_pBlend_01,0.04138502956259676
vw_NN_TS_perMatch__L_TS_gap_GSM_01,0.040448219576749336
vw_NN_H2H_perMatch__H2H_GSM_Delta_01,0.03640288963326079
vw_NN_H2H_perMatch__H2H_sfc_Delta_01,0.03531740482335441
vw_NN_TS_perMatch__TS_uncert_GSMS_S_01,0.03319854576169992
vw_NN_H2H_perMatch__pH2H_SMS_01,0.03319125223928429
vw_NN_H2H_perMatch__H2H_MS_Delta_01,0.02986970974069062
vw_NN_H2H_perMatch__pH2H_GSM_01,0.028806584596678023
vw_NN_TS_perMatch__L_TSprob_M_01,0.026914545423239854
vw_NN_TS_perMatch__TS_uncert_SMS_S_01,0.02153680829006432
vw_NN_H2H_perMatch__H2H_MS_AbsDelta_01,0.020956184668003475
vw_NN_H2H_perMatch__H2H_glb_AbsDelta_01,0.01852827458172333
vw_NN_H2H_perMatch__pH2H_MS_01,0.016353649914181954
vw_NN_H2H_perMatch__H2H_GSMS_Extreme_01,0.014057645895281778
vw_NN_H2H_perMatch__H2H_SM_AbsDelta_01,0.013152357030509251
vw_NN_H2H_perMatch__pH2H_sfc_01,0.010845945796661038
vw_NN_H2H_perMatch__H2H_M_Extreme_01,0.008765791301594146
vw_NN_H2H_perMatch__H2H_MS_Extreme_01,0.0
