feature,mean_abs_shap
WP_avg_fav,0.6721772713422449
z_rel,0.1553956674822122
WP_range,0.10602269972229378
DaysSinceLossDiff,0.07707701763183135
AgeDiff,0.06677061646024089
GameWinRateEffSurfDiff,0.06625005690438403
WP_avg_entropy,0.06067796757185008
WinRateTotalSmoothedDiff,0.05907494848215342
WP_std,0.05800074714833135
EffSurfFocusFavDiff,0.053827882654115526
z_avg_fav,0.047045186776604894
TSScale_avg,0.04331564852410914
EffSurfMatchesLogFavDiff,0.03634610905218541
DaysSinceWinDiff,0.034990630177831494
FavSurfaceUplift,0.03390176087458857
WinRateEffSurfDiff,0.02563747720412725
dZ_H2HM_M_abs,0.0242110463840759
PrizeLog,0.01999398974717785
RestDaysFavMinusOpp,0.01966438177308022
OppSurfaceUplift,0.019145659304777376
SetWinRateEffSurfDiff,0.01866089263251054
RecencySlope_MminusY,0.016466154694812166
EffSurfWeight,0.01598208796389202
FormEffSurfCompositeDiff,0.01428137685988859
dWP_H2HM_M_abs,0.014044646031990241
z_std_fav,0.01346363947431397
WinRateEffSurfSmoothedDiff,0.01112736466660989
FormCompositeDiff,0.010247302999962635
SurfaceUpliftDiff,0.010193861974369956
SeasonMonth_sin,0.009895628932157154
RecencySlopeEff_MminusY,0.009592327324673364
H2H_conflict_weighted,0.009068836800849607
AgeDiff_sq,0.00886349929835633
SeasonMonth_cos,0.00779089854090569
IsSurf4,0.006695429834003372
H2HWinRateSmoothedDiff,0.006452563904863218
RecencySlope_WminusM,0.005207898884712463
StreakDiff,0.0049644335811906345
IsSurf2,0.004370250994097934
RecencySlopeEff_WminusM,0.0036813882745984168
PrizeMissing,0.0034538707015497297
PrimeProxAdv,0.003427808769208178
FavIsHome,0.0016631224881580578
IsSurf3,0.0012516734998551863
H2HSmoothedWeighted,0.0006022469575038426
PlaysMismatch,0.0005683598681664552
FavHome_S2,0.000555436265148155
FavHome_S4,0.000542529429973532
FavHome_S1,0.00033430951348416244
IsSurf1,0.00017335740744164814
H2HMatches,0.0
FavHome_S3,0.0
